from,to,geodesic,chordal,centroid_dist,auc_gap,int_auc,ext_auc,auc_gap_rf,int_auc_rf,ext_auc_rf
IT-CRC,US-CRC,3.711607774005365,3.913566660584997,32.4338818714508,-0.0021794871794872384,0.6516666666666666,0.6538461538461539,-0.062486193293885495,0.5843333333333334,0.6468195266272189
IT-CRC,US-CRC-2,3.975731211468091,4.077111120373702,39.59449264889355,0.14528911564625846,0.6516666666666666,0.5063775510204082,0.009078231292517058,0.5843333333333334,0.5752551020408163
IT-CRC-2,AT-CRC,3.5860889270034506,3.8402655481970154,19.68182612016884,-0.05924775707384389,0.7468253968253968,0.8060731538992407,0.01109730848861279,0.6580952380952381,0.6469979296066253
IT-CRC-2,CN-CRC,3.6649773241987997,3.903213633989009,33.13122225059046,0.057886457886457965,0.7468253968253968,0.6889389389389389,-0.041103961103961084,0.6580952380952381,0.6991991991991992
IT-CRC-2,DE-CRC,3.51872741209407,3.7899248307834146,20.77322501770711,0.1259920634920635,0.7468253968253968,0.6208333333333333,0.042817460317460365,0.6580952380952381,0.6152777777777777
IT-CRC-2,FR-CRC,3.581341034055987,3.8206644638845364,18.041944042360818,0.0901597611928574,0.7468253968253968,0.6566656356325394,0.015348563180298314,0.6580952380952381,0.6427466749149398
IT-CRC-2,IT-CRC,3.839764470079042,4.003019509435313,35.73502098333926,0.08734263820470711,0.7468253968253968,0.6594827586206897,0.015853858784893315,0.6580952380952381,0.6422413793103448
IT-CRC-2,JP-CRC,3.72035280020481,3.938358068151353,35.624992238124136,-0.03567460317460314,0.7468253968253968,0.7825,-0.1719047619047619,0.6580952380952381,0.83
IT-CRC-2,US-CRC,3.6700464558291452,3.8865324346308174,28.02727008668485,0.1806271719733259,0.7468253968253968,0.5661982248520709,0.11852423217807828,0.6580952380952381,0.5395710059171598
IT-CRC-2,US-CRC-2,3.9992402933889624,4.135593261062601,41.294078475320255,0.26213151927437633,0.7468253968253968,0.4846938775510205,0.13258503401360544,0.6580952380952381,0.5255102040816326
JP-CRC,AT-CRC,3.525827776978435,3.8310991228586238,35.67394647838426,0.04499223602484481,0.74375,0.6987577639751552,-0.0006879744651483444,0.778125,0.7788129744651483
JP-CRC,CN-CRC,3.411312721361196,3.6971331399960317,23.58082080698728,-0.0004942442442441575,0.74375,0.7442442442442442,-0.0301833083083084,0.778125,0.8083083083083084
JP-CRC,DE-CRC,3.5705107485592005,3.8175858045027264,39.70017228307851,0.11791666666666667,0.74375,0.6258333333333334,0.08006944444444442,0.778125,0.6980555555555555
JP-CRC,FR-CRC,3.445030645516794,3.740588932382724,35.49165765582193,0.035738864831425965,0.74375,0.7080111351685741,-0.005976453758119504,0.778125,0.7841014537581195
JP-CRC,IT-CRC,3.697014247966468,3.9186820309126897,32.12680367745137,0.14604885057471262,0.74375,0.5977011494252874,0.11576867816091951,0.778125,0.6623563218390804
JP-CRC,IT-CRC-2,3.7203528002048096,3.938358068151353,35.624992238124136,0.05290178571428572,0.74375,0.6908482142857143,-0.005357142857142838,0.778125,0.7834821428571428
