plate_1,plate_2,n_1,n_2,geodesic_dist,mean_angle_deg,max_angle_deg,min_angle_deg,external_auc_fwd,external_auc_rev,internal_auc,auc_gap
PL083,PL085,72,71,3.6197222548755428,62.44954064442602,89.51373958493254,26.518318435519785,0.7669491525423728,0.7416666666666667,0.5805555555555555,-0.18639359698681734
PL083,PL086,72,72,3.655900191401008,63.4055394126911,88.9480328314027,28.821898059035547,0.4569444444444445,0.44305555555555554,0.5805555555555555,0.123611111111111
PL083,PL087,72,72,3.569573367055336,61.663741862113476,88.48340722770502,30.07265604741555,0.5027777777777778,0.5652777777777778,0.5805555555555555,0.07777777777777772
PL083,PL088,72,72,3.6275660932469433,63.17885467716373,89.88426763575151,32.52949455356592,0.5027777777777778,0.5513888888888889,0.5805555555555555,0.07777777777777772
PL083,PL089,72,72,3.5880707893829986,62.158706907374516,86.92010132786012,29.08781277495172,0.6166666666666667,0.6208333333333333,0.5805555555555555,-0.036111111111111205
PL083,PL090,72,72,3.522645285048757,61.40404813317862,87.88014952391492,31.86421754970225,0.5027777777777778,0.5125,0.5805555555555555,0.07777777777777772
PL083,PL091,72,63,3.530703102743057,61.05744582754237,88.13231603597166,26.576803457537384,0.7207547169811321,0.6236111111111111,0.5805555555555555,-0.14019916142557665
PL083,PL092,72,72,3.5828456717934407,62.12100592187363,89.17297766313128,29.5956159715831,0.6222222222222222,0.5361111111111111,0.5805555555555555,-0.04166666666666674
PL083,PL093,72,42,3.769495798826114,65.92143129956261,89.49215337795188,35.79798549035387,0.7224489795918367,0.5722222222222222,0.5805555555555555,-0.14189342403628125
PL084,PL085,72,71,3.5505534606291973,61.8443850784014,87.41011846129861,30.03651998828621,0.6200564971751412,0.6069444444444445,0.7027777777777777,0.0827212806026365
PL084,PL086,72,72,3.5377557301765683,61.35087685021729,87.45920908896966,29.980258501951457,0.5680555555555555,0.6930555555555555,0.7027777777777777,0.1347222222222222
PL084,PL087,72,72,3.6170059787642193,62.878462937095286,89.1976890317357,34.44087997375441,0.5930555555555554,0.6236111111111111,0.7027777777777777,0.10972222222222228
PL084,PL088,72,72,3.6001477444969545,62.2923151879567,87.01947189899427,30.600015340617702,0.5347222222222223,0.5166666666666667,0.7027777777777777,0.1680555555555554
PL084,PL089,72,72,3.7825874059381044,66.09272780805473,88.61299295014665,33.73730213303212,0.46388888888888896,0.4291666666666667,0.7027777777777777,0.23888888888888876
PL084,PL090,72,72,3.5502404573797746,61.31439173734505,89.23525847450186,30.345723208474958,0.7291666666666667,0.8055555555555556,0.7027777777777777,-0.026388888888889017
PL084,PL091,72,63,3.6187497674397036,63.10928128780936,87.22687496277936,32.14229257138827,0.6150943396226415,0.5513888888888888,0.7027777777777777,0.08768343815513624
PL084,PL092,72,72,3.592748410571745,62.23695856564009,89.80455737881351,30.187650718967603,0.7513888888888889,0.7263888888888889,0.7027777777777777,-0.04861111111111116
PL084,PL093,72,42,3.5767127430191525,62.74209024448081,89.31602958967713,33.26941399374449,0.5428571428571429,0.5375000000000001,0.7027777777777777,0.1599206349206348
PL085,PL086,71,72,3.7332329631420738,64.61554652982133,88.40858328973513,30.514269881784813,0.4986111111111111,0.5028248587570621,0.44772727272727275,-0.050883838383838365
PL085,PL087,71,72,3.6283657836939813,62.97808906113121,88.4372723906565,31.165902089519015,0.6458333333333334,0.6370056497175142,0.44772727272727275,-0.19810606060606062
PL085,PL088,71,72,3.7902632744160747,66.0636435995927,87.09574281473496,33.86047365743433,0.6777777777777778,0.6822033898305084,0.44772727272727275,-0.23005050505050506
PL085,PL089,71,72,3.6578406612660626,63.44735961741378,89.15902718993635,27.91085293754066,0.6847222222222223,0.6327683615819208,0.44772727272727275,-0.2369949494949496
