plate_1,plate_2,n_1,n_2,geodesic_dist,mean_angle_deg,confound_fraction,signal_fraction,raw_shift,centroid_dist,domain_auc,variance_ratio,ext_auc_lr_fwd,ext_auc_lr_rev,int_auc_lr,auc_gap_lr,ext_auc_rf_fwd,ext_auc_rf_rev,int_auc_rf,auc_gap_rf
PL082,PL088,72,72,3.603037720792302,62.18078115733647,0.0,1.0,6.790843728487296,6.790843728487296,1.0,1.1399820871364743,0.4652777777777778,0.5125,0.48888888888888893,0.023611111111111138,0.5659722222222223,0.5125,0.27083333333333337,-0.29513888888888895
PL082,PL089,72,72,3.6121568686512124,62.840795936549625,0.0,1.0,10.947322913220503,10.947322913220503,1.0,1.19614274146421,0.5972222222222222,0.5402777777777779,0.48888888888888893,-0.10833333333333328,0.6277777777777778,0.6263888888888889,0.27083333333333337,-0.3569444444444444
PL082,PL090,72,72,3.46323213632715,59.93316971443873,0.0,1.0,5.692671376822966,5.692671376822966,1.0,1.0627857501778444,0.6305555555555555,0.7875,0.48888888888888893,-0.1416666666666666,0.7555555555555555,0.5652777777777778,0.27083333333333337,-0.48472222222222217
PL082,PL091,72,63,3.681247384880349,63.93106943693961,0.0,1.0,11.444729657558524,11.444729657558524,1.0,1.1712849228956959,0.5075471698113208,0.5069444444444444,0.48888888888888893,-0.018658280922431825,0.35094339622641507,0.507638888888889,0.27083333333333337,-0.0801100628930817
PL082,PL092,72,72,3.4775954966903138,60.272176677447575,0.0,1.0,8.026046619821145,8.026046619821145,1.0,1.1448807639769767,0.6041666666666666,0.5875,0.48888888888888893,-0.1152777777777777,0.6798611111111111,0.670138888888889,0.27083333333333337,-0.40902777777777777
PL082,PL093,72,42,3.5953900334333797,63.34643510236327,0.0,1.0,8.875404773723767,8.875404773723767,1.0,1.215559330932466,0.6693877551020407,0.6805555555555556,0.48888888888888893,-0.1804988662131518,0.4877551020408163,0.5729166666666666,0.27083333333333337,-0.21692176870748292
PL083,PL084,72,72,3.473517926965515,60.664857467373835,0.0,1.0,9.992331018980568,9.992331018980568,1.0,1.1910589036340054,0.4958333333333333,0.5069444444444444,0.5805555555555555,0.0847222222222222,0.42986111111111114,0.4527777777777777,0.5708333333333332,0.14097222222222205
PL083,PL085,72,71,3.6197222548755428,62.44954064442602,0.0,1.0,4.504457372951005,4.504457372951005,1.0,1.081504716383677,0.7598870056497176,0.7319444444444444,0.5805555555555555,-0.17933145009416207,0.6129943502824858,0.6131944444444445,0.5708333333333332,-0.04216101694915264
PL083,PL086,72,72,3.6559001914010074,63.4055394126911,0.0,1.0,9.20275883933927,9.20275883933927,1.0,1.1450141395524072,0.4263888888888889,0.4777777777777778,0.5805555555555555,0.15416666666666662,0.6333333333333334,0.40625,0.5708333333333332,-0.06250000000000022
PL083,PL087,72,72,3.569573367055336,61.663741862113476,0.0,1.0,4.795256640431118,4.795256640431118,1.0,1.1193780929008676,0.5374999999999999,0.5638888888888889,0.5805555555555555,0.043055555555555625,0.5347222222222222,0.3993055555555556,0.5708333333333332,0.03611111111111098
PL083,PL088,72,72,3.6275660932469433,63.17885467716373,0.0,1.0,8.852042039800297,8.852042039800297,1.0,1.1329591730951756,0.41805555555555557,0.5569444444444445,0.5805555555555555,0.16249999999999992,0.6569444444444444,0.4923611111111111,0.5708333333333332,-0.08611111111111125
PL083,PL089,72,72,3.5880707893829986,62.158706907374516,0.0,1.0,4.362980992238814,4.362980992238814,0.9923809523809524,1.0797650798803906,0.6263888888888889,0.6319444444444444,0.5805555555555555,-0.04583333333333339,0.5305555555555557,0.4388888888888889,0.5708333333333332,0.040277777777777524
PL083,PL090,72,72,3.522645285048757,61.40404813317862,0.0,1.0,9.236393898017116,9.236393898017116,1.0,1.2152526156559085,0.5013888888888889,0.5166666666666667,0.5805555555555555,0.07916666666666661,0.5229166666666667,0.47361111111111115,0.5708333333333332,0.047916666666666496
PL083,PL091,72,63,3.530703102743057,61.05744582754237,0.0,1.0,5.025718693455609,5.025718693455609,1.0,1.1026806010551427,0.730188679245283,0.6291666666666667,0.5805555555555555,-0.14963312368972748,0.5556603773584905,0.4763888888888889,0.5708333333333332,0.015172955974842695
PL083,PL092,72,72,3.5828456717934407,62.12100592187363,0.0,1.0,7.179641496263015,7.179641496263015,1.0,1.1281115059519204,0.6305555555555555,0.5180555555555555,0.5805555555555555,-0.050000000000000044,0.5090277777777777,0.5652777777777778,0.5708333333333332,0.06180555555555545
PL083,PL093,72,42,3.769495798826114,65.92143129956261,0.0,1.0,7.1080495890383935,7.1080495890383935,1.0,1.0625175834030995,0.6775510204081633,0.6347222222222222,0.5805555555555555,-0.0969954648526078,0.4816326530612245,0.49444444444444446,0.5708333333333332,0.0892006802721087
PL084,PL085,72,71,3.5505534606291973,61.8443850784014,0.0,1.0,10.64263889797629,10.64263889797629,1.0,1.1012979283314217,0.6172316384180792,0.6180555555555556,0.7027777777777777,0.08554613935969857,0.5692090395480226,0.4708333333333333,0.6680555555555555,0.09884651600753291
PL084,PL086,72,72,3.5377557301765683,61.35087685021729,0.0,1.0,5.988263348712124,5.988263348712124,1.0,1.0402132711650158,0.5652777777777778,0.6833333333333333,0.7027777777777777,0.13749999999999996,0.6361111111111111,0.5298611111111112,0.6680555555555555,0.03194444444444444
PL084,PL087,72,72,3.6170059787642193,62.878462937095286,0.0,1.0,10.193626220062693,10.193626220062693,1.0,1.0640362815636109,0.5833333333333334,0.625,0.7027777777777777,0.11944444444444435,0.5840277777777778,0.5548611111111111,0.6680555555555555,0.0840277777777777
PL084,PL088,72,72,3.600147744496954,62.2923151879567,0.0,1.0,5.255447788647427,5.255447788647427,1.0,1.0512813982344174,0.5277777777777779,0.5305555555555556,0.7027777777777777,0.17499999999999982,0.6354166666666667,0.5493055555555555,0.6680555555555555,0.03263888888888877
PL084,PL089,72,72,3.7825874059381044,66.09272780805473,0.0,1.0,10.563204292804748,10.563204292804748,1.0,1.103072256944949,0.4444444444444445,0.42499999999999993,0.7027777777777777,0.25833333333333325,0.4111111111111111,0.4916666666666667,0.6680555555555555,0.2569444444444444
PL084,PL090,72,72,3.5502404573797746,61.31439173734505,0.0,1.0,6.347358877692083,6.347358877692083,1.0,1.020312775420331,0.7513888888888888,0.7916666666666666,0.7027777777777777,-0.04861111111111105,0.7236111111111112,0.6395833333333334,0.6680555555555555,-0.05555555555555569
PL084,PL091,72,63,3.6187497674397036,63.10928128780936,0.0,1.0,10.638825597905564,10.638825597905564,1.0,1.0801485965149786,0.5735849056603773,0.5791666666666667,0.7027777777777777,0.12919287211740038,0.3915094339622642,0.5569444444444445,0.6680555555555555,0.27654612159329134
